Municipality,Cases
Aguada,1
Aguadilla,2
Aguas Buenas,8
Aibonito,2
Añasco,4
Arecibo,6
Barranquitas,2
Bayamón,25
Cabo Rojo,4
Caguas,18
Canóvanas,3
Carolina,21
Cataño,4
Cayey,1
Ceiba,3
Cidra,4
Corozal,2
Dorado,7
Guánica,2
Guayama,1
Guaynabo,26
Gurabo,3
Hatillo,3
Hormigueros,4
Humacao,1
Isabela,5
Juana Díaz,12
Juncos,1
Lajas,1
Lares,1
Las Piedras,2
Loíza,1
Luquillo,4
Manatí,2
Maunabo,2
Mayagüez,12
Moca,1
Ponce,5
Quebradillas,2
Rio Grande,2
Sabana Grande,3
Salinas,1
San Germán,4
San Juan,50
San Lorenzo,2
San Sebastián,5
Toa Alta,8
Toa Baja,9
Trujillo Alto,6
Vega Alta,6
Vega Baja,3
Villalba,1
Yabucoa,1
Yauco,6
New York,4
No disponible,301
